PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
PRT,1,1901,.,1,1,15178,O,.,.,.,1,1
PRT,1,1901,.,2,1,15826,O,.,.,.,1,1
PRT,1,1901,.,3,1,14132,O,.,.,.,1,1
PRT,1,1901,.,4,1,16179,O,.,.,.,1,1
PRT,1,1901,.,5,1,15070,O,.,.,.,1,1
PRT,1,1901,.,6,1,12881,O,.,.,.,1,1
PRT,1,1901,.,7,1,12047,O,.,.,.,1,1
PRT,1,1901,.,8,1,13922,O,.,.,.,1,1
PRT,1,1901,.,9,1,13226,O,.,.,.,1,1
PRT,1,1901,.,10,1,13918,O,.,.,.,1,1
PRT,1,1901,.,11,1,14591,O,.,.,.,1,1
PRT,1,1901,.,12,1,13803,O,.,.,.,1,1
PRT,1,1901,.,TOT,1,170773,O,.,.,.,1,1
PRT,1,1902,.,1,1,15244,O,.,.,.,1,1
PRT,1,1902,.,2,1,14747,O,.,.,.,1,1
PRT,1,1902,.,3,1,15963,O,.,.,.,1,1
PRT,1,1902,.,4,1,16289,O,.,.,.,1,1
PRT,1,1902,.,5,1,15020,O,.,.,.,1,1
PRT,1,1902,.,6,1,13416,O,.,.,.,1,1
PRT,1,1902,.,7,1,12025,O,.,.,.,1,1
PRT,1,1902,.,8,1,15181,O,.,.,.,1,1
PRT,1,1902,.,9,1,14342,O,.,.,.,1,1
PRT,1,1902,.,10,1,14121,O,.,.,.,1,1
PRT,1,1902,.,11,1,15277,O,.,.,.,1,1
PRT,1,1902,.,12,1,14404,O,.,.,.,1,1
PRT,1,1902,.,TOT,1,176029,O,.,.,.,1,1
PRT,1,1903,.,1,1,14996,O,.,.,.,1,1
PRT,1,1903,.,2,1,18321,O,.,.,.,1,1
PRT,1,1903,.,3,1,14023,O,.,.,.,1,1
PRT,1,1903,.,4,1,17896,O,.,.,.,1,1
PRT,1,1903,.,5,1,16574,O,.,.,.,1,1
PRT,1,1903,.,6,1,13994,O,.,.,.,1,1
PRT,1,1903,.,7,1,12763,O,.,.,.,1,1
PRT,1,1903,.,8,1,15506,O,.,.,.,1,1
PRT,1,1903,.,9,1,14377,O,.,.,.,1,1
PRT,1,1903,.,10,1,14502,O,.,.,.,1,1
PRT,1,1903,.,11,1,15578,O,.,.,.,1,1
PRT,1,1903,.,12,1,14608,O,.,.,.,1,1
PRT,1,1903,.,TOT,1,183138,O,.,.,.,1,1
PRT,1,1904,.,1,1,16394,O,.,.,.,1,1
PRT,1,1904,.,2,1,16713,O,.,.,.,1,1
PRT,1,1904,.,3,1,13341,O,.,.,.,1,1
PRT,1,1904,.,4,1,17528,O,.,.,.,1,1
PRT,1,1904,.,5,1,15401,O,.,.,.,1,1
PRT,1,1904,.,6,1,13059,O,.,.,.,1,1
PRT,1,1904,.,7,1,13567,O,.,.,.,1,1
PRT,1,1904,.,8,1,13862,O,.,.,.,1,1
PRT,1,1904,.,9,1,13537,O,.,.,.,1,1
PRT,1,1904,.,10,1,15315,O,.,.,.,1,1
PRT,1,1904,.,11,1,13948,O,.,.,.,1,1
PRT,1,1904,.,12,1,14061,O,.,.,.,1,1
PRT,1,1904,.,TOT,1,176726,O,.,.,.,1,1
PRT,1,1905,.,1,1,15876,O,.,.,.,1,1
PRT,1,1905,.,2,1,15131,O,.,.,.,1,1
PRT,1,1905,.,3,1,15735,O,.,.,.,1,1
PRT,1,1905,.,4,1,16729,O,.,.,.,1,1
PRT,1,1905,.,5,1,15060,O,.,.,.,1,1
PRT,1,1905,.,6,1,13975,O,.,.,.,1,1
PRT,1,1905,.,7,1,13746,O,.,.,.,1,1
PRT,1,1905,.,8,1,14294,O,.,.,.,1,1
PRT,1,1905,.,9,1,14081,O,.,.,.,1,1
PRT,1,1905,.,10,1,15188,O,.,.,.,1,1
PRT,1,1905,.,11,1,13797,O,.,.,.,1,1
PRT,1,1905,.,12,1,16134,O,.,.,.,1,1
PRT,1,1905,.,TOT,1,179746,O,.,.,.,1,1
PRT,1,1906,.,1,1,16377,O,.,.,.,1,1
PRT,1,1906,.,2,1,17781,O,.,.,.,1,1
PRT,1,1906,.,3,1,13309,O,.,.,.,1,1
PRT,1,1906,.,4,1,17478,O,.,.,.,1,1
PRT,1,1906,.,5,1,14580,O,.,.,.,1,1
PRT,1,1906,.,6,1,13069,O,.,.,.,1,1
PRT,1,1906,.,7,1,14691,O,.,.,.,1,1
PRT,1,1906,.,8,1,14497,O,.,.,.,1,1
PRT,1,1906,.,9,1,15866,O,.,.,.,1,1
PRT,1,1906,.,10,1,14670,O,.,.,.,1,1
PRT,1,1906,.,11,1,14331,O,.,.,.,1,1
PRT,1,1906,.,12,1,16271,O,.,.,.,1,1
PRT,1,1906,.,TOT,1,182920,O,.,.,.,1,1
PRT,1,1907,.,1,1,15285,O,.,.,.,1,1
PRT,1,1907,.,2,1,15754,O,.,.,.,1,1
PRT,1,1907,.,3,1,15130,O,.,.,.,1,1
PRT,1,1907,.,4,1,16895,O,.,.,.,1,1
PRT,1,1907,.,5,1,14063,O,.,.,.,1,1
PRT,1,1907,.,6,1,13374,O,.,.,.,1,1
PRT,1,1907,.,7,1,12495,O,.,.,.,1,1
PRT,1,1907,.,8,1,13966,O,.,.,.,1,1
PRT,1,1907,.,9,1,15133,O,.,.,.,1,1
PRT,1,1907,.,10,1,14351,O,.,.,.,1,1
PRT,1,1907,.,11,1,14034,O,.,.,.,1,1
PRT,1,1907,.,12,1,15937,O,.,.,.,1,1
PRT,1,1907,.,TOT,1,176417,O,.,.,.,1,1
PRT,1,1908,.,1,1,15158,O,.,.,.,1,1
PRT,1,1908,.,2,1,15689,O,.,.,.,1,1
PRT,1,1908,.,3,1,15846,O,.,.,.,1,1
PRT,1,1908,.,4,1,16466,O,.,.,.,1,1
PRT,1,1908,.,5,1,15543,O,.,.,.,1,1
PRT,1,1908,.,6,1,13015,O,.,.,.,1,1
PRT,1,1908,.,7,1,12356,O,.,.,.,1,1
PRT,1,1908,.,8,1,14666,O,.,.,.,1,1
PRT,1,1908,.,9,1,13506,O,.,.,.,1,1
PRT,1,1908,.,10,1,14181,O,.,.,.,1,1
