Date,Births
1901-01-01,15178.0
1901-02-01,15826.0
1901-03-01,14132.0
1901-04-01,16179.0
1901-05-01,15070.0
1901-06-01,12881.0
1901-07-01,12047.0
1901-08-01,13922.0
1901-09-01,13226.0
1901-10-01,13918.0
1901-11-01,14591.0
1901-12-01,13803.0
1902-01-01,15244.0
1902-02-01,14747.0
1902-03-01,15963.0
1902-04-01,16289.0
1902-05-01,15020.0
1902-06-01,13416.0
1902-07-01,12025.0
1902-08-01,15181.0
1902-09-01,14342.0
1902-10-01,14121.0
1902-11-01,15277.0
1902-12-01,14404.0
1903-01-01,14996.0
1903-02-01,18321.0
1903-03-01,14023.0
1903-04-01,17896.0
1903-05-01,16574.0
1903-06-01,13994.0
1903-07-01,12763.0
1903-08-01,15506.0
1903-09-01,14377.0
1903-10-01,14502.0
1903-11-01,15578.0
1903-12-01,14608.0
1904-01-01,16394.0
1904-02-01,16713.0
1904-03-01,13341.0
1904-04-01,17528.0
1904-05-01,15401.0
1904-06-01,13059.0
1904-07-01,13567.0
1904-08-01,13862.0
1904-09-01,13537.0
1904-10-01,15315.0
1904-11-01,13948.0
1904-12-01,14061.0
1905-01-01,15876.0
1905-02-01,15131.0
1905-03-01,15735.0
1905-04-01,16729.0
1905-05-01,15060.0
1905-06-01,13975.0
1905-07-01,13746.0
1905-08-01,14294.0
1905-09-01,14081.0
1905-10-01,15188.0
1905-11-01,13797.0
1905-12-01,16134.0
1906-01-01,16377.0
1906-02-01,17781.0
1906-03-01,13309.0
1906-04-01,17478.0
1906-05-01,14580.0
1906-06-01,13069.0
1906-07-01,14691.0
1906-08-01,14497.0
1906-09-01,15866.0
1906-10-01,14670.0
1906-11-01,14331.0
1906-12-01,16271.0
1907-01-01,15285.0
1907-02-01,15754.0
1907-03-01,15130.0
1907-04-01,16895.0
1907-05-01,14063.0
1907-06-01,13374.0
1907-07-01,12495.0
1907-08-01,13966.0
1907-09-01,15133.0
1907-10-01,14351.0
1907-11-01,14034.0
1907-12-01,15937.0
1908-01-01,15158.0
1908-02-01,15689.0
1908-03-01,15846.0
1908-04-01,16466.0
1908-05-01,15543.0
1908-06-01,13015.0
1908-07-01,12356.0
1908-08-01,14666.0
1908-09-01,13506.0
1908-10-01,14181.0
1908-11-01,14569.0
1908-12-01,14273.0
1909-01-01,15584.0
1909-02-01,16822.0
1909-03-01,12558.0
1909-04-01,15400.0
1909-05-01,15338.0
1909-06-01,12798.0
1909-07-01,12308.0
1909-08-01,15496.0
1909-09-01,14597.0
1909-10-01,15011.0
1909-11-01,14385.0
1909-12-01,14456.0
1910-01-01,17335.0
1910-02-01,14971.0
1910-03-01,14968.0
1910-04-01,15673.0
1910-05-01,17154.0
1910-06-01,12910.0
1910-07-01,13306.0
1910-08-01,13947.0
1910-09-01,14440.0
1910-10-01,16523.0
1910-11-01,15645.0
1910-12-01,20081.0
1911-01-01,20029.0
1911-02-01,19978.0
1911-03-01,19926.0
1911-04-01,19875.0
1911-05-01,19823.0
1911-06-01,19771.0
1911-07-01,19720.0
1911-08-01,19668.0
1911-09-01,19617.0
1911-10-01,19565.0
1911-11-01,19513.0
1911-12-01,19462.0
1912-01-01,19410.0
1912-02-01,19359.0
1912-03-01,19307.0
1912-04-01,19255.0
1912-05-01,19204.0
1912-06-01,19152.0
1912-07-01,19101.0
1912-08-01,19049.0
1912-09-01,18997.0
1912-10-01,18946.0
1912-11-01,18894.0
1912-12-01,18843.0
1913-01-01,18791.0
1913-02-01,18739.0
1913-03-01,18688.0
1913-04-01,18636.0
1913-05-01,18585.0
1913-06-01,18533.0
1913-07-01,18481.0
1913-08-01,18430.0
1913-09-01,18378.0
1913-10-01,18327.0
1913-11-01,18275.0
1913-12-01,18223.0
1914-01-01,18172.0
1914-02-01,18120.0
1914-03-01,18069.0
1914-04-01,18017.0
1914-05-01,17965.0
1914-06-01,17914.0
1914-07-01,17862.0
1914-08-01,17811.0
1914-09-01,17759.0
1914-10-01,17707.0
1914-11-01,17656.0
1914-12-01,17604.0
1915-01-01,17553.0
1915-02-01,17501.0
1915-03-01,17449.0
1915-04-01,17398.0
